fid_1,Lake,Type,Sq,EM_pct_17,SFM_pct_17,OW_pct_17,EM_pct_18,SFM_pct_18,OW_pct_18,EM_pct_19,SFM_pct_19,OW_pct_19,EM_pct_20,SFM_pct_20,OW_pct_20,EM_pct_21,SFM_pct_21,OW_pct_21,EM_pct_22,SFM_pct_22,OW_pct_22,EM_pct_23,SFM_pct_23,OW_pct_23,EM_pct_24,SFM_pct_24,OW_pct_24,mac17,mac18,mac19,mac20,mac21,mac22,mac23,mac24,morf_group
125,Žirnajai,1,2,2.59548843023749,6.68306054946218,90.72145102030032,NA,NA,NA,5.94294469927852,7.138031013855986,86.9190242868655,NA,NA,NA,NA,NA,NA,3.8406989105142175,8.77720772980012,87.38209335968565,5.573549471653748,6.156562108792761,88.2698884195535,5.89355398261036,5.824001307671059,88.28244470971858,9.27854897969967,NA,13.080975713134508,NA,NA,12.617906640314338,11.730111580446508,11.71755529028142,2
126,Žuvintas,1,10,36.92498605022909,17.31767818869729,45.75733576107361,38.31357377787665,19.495748725817464,42.1906774963059,NA,NA,NA,NA,NA,NA,35.43416790225169,20.69913415912207,43.866697938626245,34.936496314637054,24.18558491741993,40.877918767943015,36.70480994863101,16.835347984310843,46.45984206705814,34.960484044827105,24.70837988771058,40.33113606746231,54.24266423892638,57.80932250369411,NA,NA,56.13330206137376,59.122081232056985,53.54015793294185,59.66886393253769,3
127,Žvernas,1,1.8,3.9770131199786256,3.516607031031558,92.50637984898982,5.860558390371327,2.483099259142992,91.65634235048567,7.3312269579595455,6.710681740243429,85.95809130179703,4.165330924421195,8.877022519230234,86.95764655634856,3.778207882422678,9.007936071332908,87.21385604624442,3.706626701673331,10.435124760640866,85.8582485376858,4.947091073263423,8.210479565094106,86.84242936164247,4.423345977229488,9.795893226145328,85.78076079662519,7.493620151010184,8.343657649514318,14.041908698202974,13.042353443651429,12.786143953755584,14.141751462314197,13.15757063835753,14.219239203374816,3
128,Batoryna,1,6.1,NA,NA,NA,5.187751264998159,9.794850294663084,85.01739844033875,8.998699530882917,15.134235370006238,75.86706509911085,5.422268257907847,12.463669499704306,82.11406224238786,5.839830121726733,12.063090812443036,82.09707906583023,NA,NA,NA,5.65740380271994,12.719234903025992,81.62336129425407,10.619728361207311,8.39081382251641,80.98945781627629,NA,14.982601559661244,24.13293490088916,17.885937757612155,17.90292093416977,NA,18.376638705745933,19.01054218372372,3
129,Belaye (Kan'),1,6.7,4.008044423041192,6.838789621542056,89.15316595541675,5.914817378335932,2.575135114188999,91.51004750747508,8.647313811815598,2.059713675619218,89.29297251256519,NA,NA,NA,5.258471280304933,7.0905427110668935,87.65098600862817,4.14419618857039,6.408821894878416,89.44698191655121,9.869922769392073,1.4206104737973329,88.70946675681061,5.9381642089732285,5.504760199928875,88.55707559109788,10.846834044583249,8.489952492524932,10.707027487434816,NA,12.349013991371828,10.553018083448803,11.290533243189405,11.442924408902105,3
130,Belaye (Vilija),2,1.7,2.186166847151485,5.109559167291939,92.70427398555655,6.478129546338024,3.3615303453370244,90.16034010832496,NA,NA,NA,8.131469496275095,2.581313406550449,89.28721709717445,7.786331712553424,4.708216227874092,87.50545205957249,7.581341491969022,11.920539169614248,80.49811933841673,9.498776615311142,2.319678907142301,88.18154447754655,9.756260915596483,1.7052361730410164,88.5385029113625,7.295726014443424,9.839659891675048,NA,10.712782902825545,12.494547940427516,19.50188066158327,11.818455522453442,11.4614970886375,4
131,Bershtauskaye,1,1.6,3.07760378944006,4.86792332231454,92.0544728882454,6.332974200700152,2.4525417436239616,91.21448405567588,8.495399244679238,1.889372501098458,89.6152282542223,NA,NA,NA,NA,NA,NA,3.297325977391301,6.434218419482162,90.26845560312654,8.309137172614504,1.781483639732417,89.90937918765307,4.237673958010516,4.677590373918934,91.08473566807056,7.9455271117546,8.785515944324114,10.384771745777696,NA,NA,9.731544396873463,10.09062081234692,8.91526433192945,3
132,Belaye (Narach),1,2,NA,NA,NA,0.7411879882307979,1.476867139848626,97.78194487192056,1.0381430697158562,2.1582967991376187,96.80356013114653,1.1907295618860103,2.0025195483216924,96.8067508897923,1.478500550751903,3.5504008697034704,94.97109857954464,2.1142632488750013,0.8999399152527202,96.98579683587228,1.688458871827584,2.5043312648442164,95.8072098633282,0.920357855992062,1.5174732876556771,97.56216885635226,NA,2.218055128079424,3.196439868853475,3.193249110207703,5.028901420455373,3.0142031641277214,4.192790136671801,2.437831143647739,3
133,Babrovitskaye,1,10,0.6162176780650577,0.5299149457926824,98.85386737614226,1.2130161754089936,0.8642197708543613,97.92276405373664,NA,NA,NA,NA,NA,NA,0.9002217875117099,1.176711409398233,97.92306680309008,1.7208156435046955,1.0924439061803874,97.18674045031491,1.707860889753121,0.4933606560818175,97.79877845416506,2.019813376647003,0.4270984712753744,97.55308815207762,1.14613262385774,2.0772359462633547,NA,NA,2.076933196909943,2.8132595496850827,2.201221545834938,2.4469118479223773,3
134,Vialikiya Shvakshty,1,9.5,NA,NA,NA,1.4895936612161726,2.1028652185558485,96.40754112022798,2.537495504525692,2.409631278925636,95.05287321654868,1.582874541373434,2.903884306753428,95.51324115187312,1.466968604938948,1.9443674179401185,96.58866397712094,NA,NA,NA,2.29871379900326,1.7632835315568869,95.93800266943984,2.29880154388847,1.8858476223454,95.81535083376612,NA,3.592458879772021,4.947126783451328,4.486758848126861,3.411336022879066,NA,4.061997330560147,4.18464916623387,3
135,Verauskaye,1,1.2,NA,NA,NA,10.431498982112824,1.7324872318625288,87.83601378602465,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.975487618901538,4.653066814315309,89.37144556678317,11.363378105538189,1.5631856022281752,87.07343629223362,7.7463859885162,3.856550299990808,88.39706371149299,NA,12.16398621397535,NA,NA,NA,10.628554433216848,12.926563707766364,11.602936288507008,3
136,Vilejka Reservoir,2,65.4,0.784313348797409,4.000672679255809,95.21501397194676,2.0080331640590634,3.480232757025612,94.51173407891534,NA,NA,NA,NA,NA,NA,3.963053198643188,2.5340205291016504,93.50292627225517,NA,NA,NA,3.3173060767950195,2.5794571302601885,94.10323679294478,2.067275812981185,3.313339542430892,94.61938464458792,4.7849860280532175,5.488265921084675,NA,NA,6.497073727744838,NA,5.8967632070552085,5.380615355412077,5
