fid_1,Lake,EM17,EM18,EM19,EM20,EM21,EM22,EM23,EM24,SFM17,SFM18,SFM19,SFM20,SFM21,SFM22,SFM23,SFM24,dEM18,dSM18,dEM19,dSM19,dEM20,dSM20,dEM21,dSM21,dEM22,dSM22,dEM23,dSM23,dEM24,dSM24
24,Baluošai,3.51,6.07,6.03,4.41,3.56,3.1,6.02,4.9,2.25,0.88,4.95,4.91,6.39,6.22,2.84,4.86,2.5600000000000005,-1.37,-0.04000000000000003,4.07,-1.62,-0.04000000000000003,-0.8500000000000001,1.4799999999999995,-0.46,-0.16999999999999993,2.9199999999999995,-3.38,-1.1199999999999992,2.0200000000000005
26,Bebrusai,2.42,4.36,6.43,3.07,2.41,2.36,15.06,4.64,4.2,3.33,5.59,7.5,8.52,8.45,1.94,6.03,1.9400000000000004,-0.8700000000000001,2.0699999999999994,2.26,-3.36,1.91,-0.6599999999999997,1.0199999999999996,-0.05000000000000026,-0.07000000000000028,12.7,-6.51,-10.420000000000002,4.09
29,Didžiulis (Alytus),6.22,7.81,7.66,6.56,6.64,5.77,10.65,6.3,4.51,3.16,5.41,5.63,6.68,6.73,2.29,6.19,1.59,-1.3499999999999996,-0.14999999999999947,2.25,-1.1000000000000003,0.21999999999999975,0.08000000000000007,1.0499999999999998,-0.8700000000000001,0.05000000000000071,4.880000000000001,-4.44,-4.3500000000000005,3.9
30,Didžiulis (Dusmena),1.06,4.07,11.96,3.81,3.74,1.55,1.64,2.38,5.12,4.1,4.56,12.45,7.41,11.65,11.32,10.62,3.01,-1.0200000000000005,7.890000000000001,0.46,-8.15,7.89,-0.06999999999999984,-5.039999999999999,-2.1900000000000004,4.24,0.08999999999999986,-0.33000000000000007,0.74,-0.7000000000000011
33,Dūkštas,3.37,4.19,5,4.97,4.26,3.72,4.87,4.54,0.65,1.52,3.26,3.2,5.48,3.81,2.61,2.89,0.8200000000000003,0.87,0.8099999999999996,1.7399999999999998,-0.03000000000000025,-0.05999999999999961,-0.71,2.28,-0.5399999999999996,-1.6700000000000004,1.15,-1.2000000000000002,-0.33000000000000007,0.28000000000000025
34,Dūriai,7.15,10.22,13.6,7.24,6.73,7.12,9.19,9.85,8.12,3.07,5.46,10.6,11.13,10.9,8.3,8.06,3.0700000000000003,-5.049999999999999,3.379999999999999,2.39,-6.359999999999999,5.14,-0.5099999999999998,0.5300000000000011,0.3899999999999997,-0.23000000000000043,2.0699999999999994,-2.5999999999999996,0.6600000000000001,-0.2400000000000002
38,Elektrėnai Reservoir,3.76,5.71,7.57,5.4,5.15,6.43,5.27,5.26,7.16,4.33,6.52,8.8,9.06,7.16,7.92,8.13,1.95,-2.83,1.8600000000000003,2.1899999999999995,-2.17,2.280000000000001,-0.25,0.2599999999999998,1.2799999999999994,-1.9000000000000004,-1.16,0.7599999999999998,-0.00999999999999978,0.21000000000000085
41,Galuonai,3.7,4.78,7.75,4.51,5.18,3.49,5.49,9.3,2.78,6.82,9.67,10.93,10.76,11.57,8.34,9.14,1.08,4.040000000000001,2.97,2.8499999999999996,-3.24,1.2599999999999998,0.6699999999999999,-0.16999999999999993,-1.6899999999999995,0.8100000000000005,2,-3.2300000000000004,3.810000000000001,0.8000000000000007
42,Galuonis,7.18,9.29,12.44,8.61,7.83,7.13,10.94,6.96,1.15,2.63,8.03,12.84,10.7,10.46,6.07,11.72,2.109999999999999,1.48,3.1500000000000004,5.3999999999999995,-3.83,4.8100000000000005,-0.7799999999999994,-2.140000000000001,-0.7000000000000002,-0.23999999999999844,3.81,-4.390000000000001,-3.979999999999999,5.65
47,Glėbas,7.2,6.8,8.85,10.08,10.82,7.95,9.38,5.27,4.16,3.14,3.4,4.66,4.65,4.25,2.72,5.95,-0.4000000000000003,-1.02,2.05,0.2599999999999998,1.2300000000000004,1.2600000000000002,0.7400000000000002,-0.00999999999999978,-2.87,-0.4000000000000003,1.4300000000000006,-1.5299999999999998,-4.110000000000001,3.23
