fid_1,Lake,EM_17,EM_18,EM_19,EM_20,EM_21,EM_22,EM_23,EM_24,SFM_17,SFM_18,SFM_19,SFM_20,SFM_21,SFM_22,SFM_23,SFM_24,OW_17,OW_18,OW_19,OW_20,OW_21,OW_22,OW_23,OW_24
152,Pleshchanitsy Reservoir,93970.3863807378,166841.1198395821,NA,NA,166437.6448119368,NA,217028.28625613937,153568.67146323697,161709.6926100189,141244.6893809898,NA,NA,181822.78405576223,NA,127635.08784815468,206774.8278159944,1719073.2524968616,1666667.522267046,NA,NA,1626492.9026199188,NA,1630089.957383323,1614409.8322083857
153,Rachuny Reservoir,158900.0265781327,180259.9870842577,257116.8810289121,173618.95396031378,162587.59912604518,178634.00870837038,237440.39767200235,199206.64683917176,176534.23316623466,125436.39307437968,231398.3742115096,271313.21910434787,124061.13064669442,171087.8381470026,58588.58362206852,102230.75953826903,676956.1635670232,706694.0431527529,523875.16807096894,567458.2502467287,725683.5909614414,662668.5764560176,716361.4420173197,710953.0169339498
154,Krylova Reservoir,46415.57402231552,58914.55552858835,NA,NA,46455.48423352709,NA,68397.09793563544,58685.547507761046,48842.9801723106,11810.51204548256,NA,NA,46756.18931851851,NA,2149.2947481491988,7891.904467519123,3196574.6766903293,3221108.163310884,NA,NA,3198621.5573329106,NA,3221286.838201172,3225255.778909676
155,Repikhava Reservoir,130226.47486886434,214196.81764367776,NA,NA,NA,295792.46630609594,294559.8444067117,337327.20295399707,217567.39985972384,250184.91678447355,NA,NA,NA,139895.71306544286,73072.827568129,72406.7137374878,574110.7266285765,457220.3713502472,NA,NA,NA,486216.4219856262,554271.9293823242,512170.68466567993
156,Rybnitsa,275012.7989982902,237822.90658464644,444775.41016319057,NA,213043.9812293409,172278.86084669534,351664.2950441537,255654.3165515377,299914.5124952877,67115.77372642967,8338.663699236102,NA,159330.19027877512,176926.97528326002,18403.91276613123,99954.78519725424,1889765.2481221675,2159753.87930467,2011578.4857533176,NA,2092318.3881076293,2115486.72348579,2094624.351805459,2109083.4578669537
157,Sakaushchyna Reservoir,425126.7878520298,399542.3053124081,NA,330299.64095382765,347169.51181763376,453262.91981495946,513418.2327570008,683424.0696873064,286244.7460688873,189006.3018254,NA,522555.4254951179,270471.706374823,402428.17571459,NA,258894.016165954,439648.7730562846,562471.6998393937,NA,298165.24052825634,533379.0887847452,295329.2114476522,NA,208702.22112393845
158,Svir,367156.48502471054,404469.8508639167,1033855.6287334962,583965.6951986726,717426.3164867623,NA,1024677.5534399294,1142686.836837858,1047161.0748829256,1435378.3736498514,1095742.224305441,1428564.858984061,1327224.8175275468,NA,1126722.1384814992,1060735.7846940584,20770823.82161812,20345293.157011986,20055543.52848681,20172610.827343017,20137716.434565123,NA,20033741.68960432,19981718.75999384
159,Svislach Reservoir,25516.150674991983,43178.30197260241,122945.08195335536,NA,41129.71914074468,42349.83538182578,66328.61165828329,58698.68695659267,15317.63367864571,2592.107697056789,3700.839697744332,NA,29033.18393909231,34894.79549571019,1250.8539883333094,13818.51172024596,1055671.663701405,1050735.038385384,969859.5264039432,NA,1026342.544975206,1019260.817177507,1028925.9824084264,1023988.2493782043
160,Svitsaz,7761.820494393735,18959.025993347143,24829.10280815572,NA,21994.780862067702,NA,31145.191344407016,16182.369048384116,20532.38064757701,26376.818950024768,44698.42820644005,NA,45597.75890291998,NA,39336.1620406955,52311.33645682241,1721881.7117131096,1704840.067911709,1680648.3818404851,NA,1682404.305474584,NA,1679694.559469978,1681682.2073498743
161,Servach,96842.88691244672,109713.05269257777,NA,NA,118003.6285861445,NA,198231.4514407586,142086.60993030007,169098.54624280756,204874.9276524115,NA,NA,234123.79763971976,NA,174564.0072831547,243471.36479697155,4354766.814472378,4306120.267282642,NA,NA,4268580.821401768,NA,4247912.788903719,4235150.27290036
162,Jurgionys Reservoir,152660.81076147055,198667.0598029192,247484.60416913487,NA,197122.8262301575,186604.53776019227,264096.60340692854,204919.92916638232,122734.562116406,39037.268476493686,93178.3566253363,NA,117174.20391169532,136716.9618411943,44638.78790664673,110316.6035503911,727311.5063278498,765002.5509263133,662043.9184112549,NA,688409.8490638733,679385.3796043396,693971.4878921509,687470.3464889526
163,Wigry,2103233.1010970464,1864148.2162758613,NA,NA,NA,1274699.4632451667,1679528.898479519,1439856.5777662531,1262862.0015816935,1287970.8031408866,NA,NA,NA,1977058.9378161875,1529058.893114187,1738750.8635691782,17749053.585274853,18247334.78939928,NA,NA,NA,18147695.40775468,18190866.017222315,18220846.367480595
164,Serwy,109991.51149241145,NA,NA,NA,130056.06414070888,105614.54840723678,134884.8867813858,144721.6981448004,192469.5268116672,NA,NA,NA,289105.04555939324,230528.6831808205,206222.3304075354,206606.8886328754,4160104.4890152896,NA,NA,NA,4043404.417619265,4126422.29573131,4121458.310130447,4111236.940541691
165,Mikaszewo,42482.10930952186,67574.57582252358,NA,NA,43317.21073170085,31430.89931118533,72701.63119327331,42909.68331247967,127826.62280521764,8254.04778141695,NA,NA,42627.49178359087,36736.23733197379,13006.521841445625,33314.89178270826,1081825.2301577253,1163531.0671444477,NA,NA,1166189.2597571737,1183966.8256293058,1166425.8092377458,1175909.3871772774
166,Pomorze,108695.97350752586,NA,NA,NA,152656.7467871571,118702.07637586398,277764.708633752,108180.64106828274,159138.37602537576,NA,NA,NA,191844.6549728693,237896.9158224669,128650.38988189698,240341.38367201888,2599897.6840856974,NA,NA,NA,2523230.631858572,2511133.041420267,2461316.935102949,2519210.0088782967
167,Gremzdy,157030.01451706258,292061.9220185971,NA,NA,NA,148069.51286666,155762.6254569411,131104.75271977455,184177.17053266044,105983.20479461068,NA,NA,NA,281878.2303450341,273220.75790688006,292962.217248969,1618252.3201243829,1561414.378360898,NA,NA,NA,1529511.761962412,1530476.121810285,1535157.426501749
168,Pierty,NA,215462.2120189592,NA,NA,NA,156060.11769247614,225467.71098233387,165086.9149787603,NA,93058.76039552876,NA,NA,NA,175686.1894314186,94031.65964509553,171391.01296068076,NA,1926258.2273946127,NA,NA,NA,1903032.8926852057,1915279.8291816711,1898301.2718696592
169,Krzywe,NA,184627.40299558395,NA,NA,NA,114923.35767388435,169027.7046943212,133462.4032931158,NA,54566.94071990368,NA,NA,NA,134454.03646431712,61264.95222196394,75667.68819813446,NA,1162943.333979303,NA,NA,NA,1152760.28355659,1171845.020778506,1193007.5862035418
170,Okmin,54685.902093191726,59819.30000623816,NA,NA,NA,48797.990831936135,61733.820323899214,71392.1378607956,14613.545710814233,18089.95058704451,NA,NA,NA,19270.99329407636,12728.862768689323,1640.1423415688907,1093100.8690314798,1084491.0662422029,NA,NA,NA,1094331.3327094736,1087937.6337428975,1089368.0366331213
171,Szelment Wielki,160184.49444738627,188006.74873610795,NA,59059.901989357226,NA,70182.91176458636,82449.66521872731,139360.49376811576,80827.58544316012,111423.51610144824,NA,135248.3879831053,NA,211620.31694585743,201577.6334475048,161708.4622857337,3116591.795061672,3058173.610114661,NA,3163295.584979755,NA,3075800.6462417752,3073576.5762859858,3056534.9188983697
172,Szelment Maly,NA,116043.09680741244,NA,NA,NA,39901.60265863451,85925.19517826746,53637.36705008117,NA,87909.17303311215,NA,NA,NA,169842.55066990564,105515.30733690449,133163.96794789634,NA,1418711.025167263,NA,NA,NA,1412919.1416792474,1431222.792492616,1435861.96000981
173,Hańcza,47525.91580807558,65611.56097397154,NA,13386.95694259941,NA,23896.14580535889,32538.183100277776,65765.06009196867,26415.141212598013,35355.46749667002,NA,105040.80105729944,NA,57512.02524198648,45207.353227907086,19223.1825554642,2912423.792009297,2884227.3719318574,NA,2867937.0910300706,NA,2904956.677982625,2908619.312701786,2901376.6063825386
174,Holny,94167.26175673236,NA,NA,NA,99781.67322413129,106565.37124912028,118416.33052031566,101909.21015717748,104426.84759276148,NA,NA,NA,118300.59612939878,112963.11283717435,94548.57668163824,114468.75799390012,1270745.514964938,NA,NA,NA,1251257.354960902,1249811.140228137,1256374.7171124774,1252961.6561633542
