fid_1,RD05,Max,S_m2,Type,morf_group,X,Y
159,NA,NA,NA,2,5,24.032522833875,53.489997239092
160,3.552811630691,15,2240000,1,1,25.91659251802,53.43324619300006
161,0.864176749081659,5.2,4550000,1,3,27.565662570638,55.03163557200006
162,2.18704036809606,6.5,1110000,2,4,25.204612605522,54.23079892150006
163,5.62255948741328,73,21183000,1,1,23.12544164058,54.04050710937748
164,6.85697460862725,41.5,4603000,1,2,23.212772433102,53.91851046785026
165,4.73708217425467,15,1260000,1,1,23.347417053958,53.89243649098638
166,4.84693894138239,23.5,2954000,1,1,23.40772210301,54.03841267920628
167,3.69612433116093,14.3,1881000,1,1,23.209348145453,54.07981497532296
168,8.91724519719025,38,2282000,1,2,23.075930634563,54.10137535029762
169,8.58779654539821,28.5,1384000,1,2,22.996195667172,54.09904542861862
170,13.0540051363641,39.9,1174000,1,2,22.823715625396,54.15637546433692
171,8.45340076763596,45,3561000,1,2,22.982075144927,54.22495242049586
172,7.78305033971791,28.5,1685000,1,2,23.025518100463,54.2553247351544
173,21.7959280742855,108.5,3114000,1,2,22.812748197716,54.26350424469382
174,4.28531336142129,15.2,1581000,1,1,23.456774428747,54.14725846006252
